Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
7/8/2014,15437.4,15437.4,14889.35,14997.5,26417330,1945.1
7/9/2014,15008.25,15093.45,14827.1,14931.1,30659706,2176.79
7/10/2014,14940,15371.05,14621.95,14821.7,48099687,3586.14
7/11/2014,14796.9,14918.85,14406.65,14447.2,33016401,2377.09
7/14/2014,14508.1,14561.75,14338.65,14489.75,28201476,1918.46
7/15/2014,14601.85,14919.55,14601.85,14891.9,32855355,2219.22
7/16/2014,15033.95,15299.8,15006.45,15265.45,39301894,2835.13
7/17/2014,15258.95,15301.95,15156,15269.05,26113242,1915.1
7/18/2014,15169,15463.15,15089.3,15389.35,30493093,2309.91
7/21/2014,15510,15554.9,15355.35,15385.95,26138730,1936.22
7/22/2014,15440.35,15473.35,15306.35,15427.35,21711499,1588.65
7/23/2014,15513.45,15626.9,15398.7,15463,31130839,2564.92
7/24/2014,15471.35,15559.1,15410.2,15534.35,28219094,2103.29
7/25/2014,15494.85,15571.9,15272.45,15322.25,27779539,2004.06
7/28/2014,15399.5,15403.9,15162.05,15212.15,22721782,1518.82
7/30/2014,15256.2,15470.6,15184.65,15452.4,29165299,2114.15
7/31/2014,15447.9,15499.5,15233,15267.6,39207840,2521.59
8/1/2014,15137.6,15417.25,15096.1,15127.8,36343480,2552.56
8/4/2014,15242.25,15326.15,15128.1,15242.35,22936170,1608.97
8/5/2014,15283.6,15343.5,15105.9,15293.25,27423613,1914.14
8/6/2014,15209.05,15239.35,14983.5,15008.65,21257923,1447.41
8/7/2014,15004.85,15135.1,14956.85,14986.85,21979231,1474.36
8/8/2014,14831.75,14858.95,14709.1,14765.75,27150257,2111.53
8/11/2014,14858.75,14896.9,14807,14846.8,20923637,1353.04
8/12/2014,14943.8,15078.1,14850.15,15056.7,19702406,1355.69
8/13/2014,15007.25,15078.35,14843.8,14910.9,27185856,1891.94
8/14/2014,14954.2,15144.75,14940.3,15089.65,24745845,1721.61
8/18/2014,15099.7,15465.05,15068.35,15439.75,28413852,1934.99
8/19/2014,15507.05,15624.35,15469.85,15524.65,31942362,2176.22
8/20/2014,15566.75,15566.75,15448.9,15481.7,19905172,1527.02
8/21/2014,15475.5,15721.95,15462.5,15662.2,34520563,2517.99
8/22/2014,15699.05,15865.3,15696.3,15819.15,32028572,2380.35
8/25/2014,15817.55,15973.35,15625.45,15669,22469543,1776.03
8/26/2014,15530.65,15674.55,15503.4,15624.1,21077883,1476.42
8/27/2014,15745.6,15758.85,15669.05,15717.65,18352395,1415.7
8/28/2014,15758.05,15794.6,15688.15,15740.4,27074422,2024.19
9/1/2014,15790.25,16060.2,15790.25,16012.8,23685389,1701.46
9/2/2014,16049.75,16170.85,16047.3,16130.55,26315789,1932.56
9/3/2014,16208.55,16208.55,16048.1,16110,30657042,1996.3
9/4/2014,16102.9,16114.75,15926.65,16033.55,21703976,1592.89
9/5/2014,16030.45,16111,15891.75,15982.5,21486911,1577.88
9/8/2014,16084.2,16222.55,16049.25,16206.7,20521106,1495.61
9/9/2014,16171.8,16199.1,16085.7,16156.75,17489600,1347.17
9/10/2014,16173.5,16190.5,16053.9,16151.75,20602012,1644.66
9/11/2014,16197.3,16309.7,16166.85,16204.15,30041684,1846.93
9/12/2014,16208,16278.65,16145.7,16254.15,22583271,1553.99
9/15/2014,16158.65,16239.7,16106.05,16167.55,27061568,1801.37
9/16/2014,16160.7,16169.6,15814.65,15844.1,28607396,1759.9
9/17/2014,15926.85,15937.3,15799.7,15838.6,22263757,1561.99
9/18/2014,15778.75,16173.8,15770.8,16156.85,21551813,1641.85
9/19/2014,16197.5,16197.5,16064.6,16152.15,23901299,1648.14
9/22/2014,16052.55,16272.35,16021.15,16194.55,19099454,1412.1
9/23/2014,16194.4,16240.55,15894.55,15902.85,23894197,1833.52
9/24/2014,15883.45,15954.45,15625.85,15740.3,26015651,2001.75
9/25/2014,15690.5,15734.1,15213.35,15299.05,41715540,3148.15
9/26/2014,15262.9,15666.4,15168.4,15607.25,37253894,2679.3
9/29/2014,15636.45,15636.45,15420.8,15473.55,20414879,1381.41
9/30/2014,15441.35,15596.1,15336.7,15392.25,28367263,1913.24
10/1/2014,15370.7,15377.6,15270.95,15316.2,20668460,1323.06
10/7/2014,15214.25,15344.6,15157.7,15180.25,20601315,1574.35
10/8/2014,15130.35,15371.8,15130.35,15344,19840589,1410.06
10/9/2014,15434.35,15795.65,15434.35,15741.2,27780819,1784.65
10/10/2014,15603.45,15628.75,15439.35,15453.8,24179823,1362.02
10/13/2014,15360.7,15705.7,15301.65,15677.5,26082820,1597.67
10/14/2014,15790.95,15843.7,15560.25,15751.55,32225926,1864.61
10/16/2014,15690.35,15836.15,15477.05,15541.6,30855086,2004.6
10/17/2014,15617.35,15973.5,15603.45,15929.8,31311659,1962.83
10/20/2014,16259.7,16297.25,16157.05,16216.6,32100648,2135.01
10/21/2014,16281.95,16452.85,16269,16427.25,37131786,2498.99
10/22/2014,16570.4,16572.5,16365.6,16444.7,22170074,1623.45
10/23/2014,16508.4,16524.9,16444.05,16470.05,2960759,209.33
10/27/2014,16538.9,16664.3,16470.85,16556.6,22942944,1637.58
10/28/2014,16607.5,16702.3,16607.5,16667,18058541,1600.86
10/29/2014,16770.2,16770.2,16596.25,16634.05,19023898,1619.2
10/30/2014,16606.5,16776.35,16561.35,16760.05,32012908,2565.48
10/31/2014,16812.45,17060.15,16783.65,17045.05,30066791,2379.73
11/3/2014,17087,17168.4,16934.85,17134.1,27947948,1997.6
11/5/2014,17201.45,17425.2,17157.8,17352.95,26884330,2313.87
11/7/2014,17366.85,17383.6,17202.2,17347.05,27539546,2078.62
